node_id,node_type,feeder_name,lon,lat,utm_x,utm_y,attributes,block_name
NODE_0304,secondary_substation,NDALATI EX LANGATA,36.7768888,-1.3126858,252625.44,9854798.53,Substation Number=45620; Number of Customers=0,SIMBOLOS_N_158
NODE_0305,secondary_substation,NDALATI EX LANGATA,36.7765092,-1.312619,252583.17,9854805.89,Substation Number=45622; Number of Customers=36,SIMBOLOS_N_158
NODE_0306,secondary_substation,NDALATI EX LANGATA,36.7790107,-1.3126187,252861.66,9854806.18,Substation Number=45600; Number of Customers=0,SIMBOLOS_N_158
NODE_0307,secondary_substation,NDALATI EX LANGATA,36.7771552,-1.3128718,252655.12,9854777.99,Substation Number=45619; Number of Customers=22,SIMBOLOS_N_158
NODE_0308,secondary_substation,SOWETO EX LANGATA,36.7282337,-1.3346182,247210.79,9852367.55,Substation Number=00396; Number of Customers=32,SIMBOLOS_N_158
NODE_0309,secondary_substation,NDALATI EX LANGATA,36.7787739,-1.3102839,252835.08,9855064.41,Substation Number=01850; Number of Customers=512,SIMBOLOS_N_158
NODE_0310,secondary_substation,SOWETO EX LANGATA,36.7595946,-1.3394887,250702.74,9851832.0,Substation Number=249487,SIMBOLOS_N_158
NODE_0311,secondary_substation,NDALATI EX LANGATA,36.7741869,-1.3167928,252325.04,9854343.98,Substation Number=101215; Number of Customers=2,SIMBOLOS_N_158
NODE_0312,secondary_substation,NDALATI EX LANGATA,36.7815714,-1.3105169,253146.54,9855038.91,Substation Number=184153; Number of Customers=0,SIMBOLOS_N_158
NODE_0313,secondary_substation,NDALATI EX LANGATA,36.7846225,-1.3089299,253486.07,9855214.76,Substation Number=15219; Number of Customers=1283,SIMBOLOS_N_158
NODE_0314,secondary_substation,NDALATI EX LANGATA,36.7774047,-1.3146213,252683.07,9854584.5,Substation Number=205614,SIMBOLOS_N_158
NODE_0315,secondary_substation,NDALATI EX LANGATA,36.7801043,-1.3188588,252984.03,9854116.04,Substation Number=G59138; Number of Customers=68,SIMBOLOS_N_158
NODE_0316,secondary_substation,SOWETO EX LANGATA,36.7448149,-1.3398408,249057.34,9851791.54,Substation Number=106791; Number of Customers=20,SIMBOLOS_N_158
NODE_0317,secondary_substation,SOWETO EX LANGATA,36.744513,-1.3580477,249025.6,9849777.53,Substation Number=181307; Number of Customers=22,SIMBOLOS_N_158
NODE_0318,secondary_substation,HARDY EX LANGATA,36.7868695,-1.3195098,253737.26,9854044.7,Substation Number=33947; Number of Customers=311,SIMBOLOS_N_158
NODE_0319,secondary_substation,NGEI EX LANGATA,36.7653905,-1.3259738,251346.65,9853327.54,Substation Number=101166; Number of Customers=1,SIMBOLOS_N_158
NODE_0320,secondary_substation,NDALATI EX LANGATA,36.7836426,-1.3210681,253378.16,9853872.01,Substation Number=101221; Number of Customers=268,SIMBOLOS_N_158
NODE_0321,secondary_substation,SOWETO EX LANGATA,36.7396114,-1.3534434,248479.42,9850286.33,Substation Number=45197; Number of Customers=2,SIMBOLOS_N_158
NODE_0322,secondary_substation,SOWETO EX LANGATA,36.7418689,-1.3372154,248729.1,9852081.65,Substation Number=201566,SIMBOLOS_N_158
NODE_0323,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8091123,-1.32865,256214.41,9853035.87,Substation Number=202194,SIMBOLOS_N_158
NODE_0324,secondary_substation,SOWETO EX LANGATA,36.756465,-1.3415868,250354.54,9851599.6,Substation Number=208392,SIMBOLOS_N_158
NODE_0325,secondary_substation,NDALATI EX LANGATA,36.7775091,-1.3068429,252693.93,9855444.91,Substation Number=16076; Number of Customers=478,SIMBOLOS_N_158
NODE_0326,secondary_substation,SOWETO EX LANGATA,36.7401373,-1.3761037,248540.33,9847779.76,Substation Number=221724,SIMBOLOS_N_158
NODE_0327,secondary_substation,KUWINDA EX LANGATA,36.7734616,-1.3243343,252245.04,9853509.71,Substation Number=193364; Number of Customers=2,SIMBOLOS_N_158
NODE_0328,secondary_substation,SOWETO EX LANGATA,36.7434941,-1.3683067,248913.23,9848642.6,Substation Number=228018,SIMBOLOS_N_158
NODE_0329,secondary_substation,SOWETO EX LANGATA,36.7493991,-1.3612403,249569.9,9849424.87,Substation Number=00451; Number of Customers=35,SIMBOLOS_N_158
NODE_0330,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8174004,-1.3292788,257137.15,9852967.14,Substation Number=156424; Number of Customers=0,SIMBOLOS_N_158
NODE_0331,secondary_substation,KAREN HOSPITAL EX LANGATA,36.8053376,-1.3284869,255794.16,9853053.55,Substation Number=202193,SIMBOLOS_N_158
NODE_0332,secondary_substation,SOWETO EX LANGATA,36.7423507,-1.3407363,248783.1,9851692.23,Substation Number=198677; Number of Customers=4,SIMBOLOS_N_158
NODE_0333,secondary_substation,KUWINDA EX LANGATA,36.7799266,-1.3240923,252964.76,9853537.12,Substation Number=101170; Number of Customers=0,SIMBOLOS_N_158
NODE_0334,secondary_substation,SOWETO EX LANGATA,36.7636174,-1.3755419,251154.29,9847844.37,Substation Number=01670; Number of Customers=15,SIMBOLOS_N_158
NODE_0335,secondary_substation,NDALATI EX LANGATA,36.781538,-1.3119434,253142.96,9854881.12,Substation Number=G19952; Number of Customers=965,SIMBOLOS_N_158
NODE_0336,secondary_substation,NGEI EX LANGATA,36.7613766,-1.3273099,250899.91,9853179.34,Substation Number=00411; Number of Customers=132,SIMBOLOS_N_158
NODE_0337,secondary_substation,KUWINDA EX LANGATA,36.7714162,-1.3206387,252016.96,9853918.29,Substation Number=101169; Number of Customers=7,SIMBOLOS_N_158
