INCIDENCE,DESC_INCIDENCIA,DETECTION_DATE,FY,RESOLUTION_DATE,CAUSE_SUBTYPE,CAUSE_TYPE,CAUSE,CURRENT_STATUS,REGION,COUNTY,INCIDENCE_TYPE,SR_DURATION,MAX_DEMAND,AFFECTED_CUSTOMERS,INSTALATION,INSTALATION_1,PARENT,INSTALATION_TYPE,FBBU_NAME,MONTH_YEAR,DURATION_HRS,LOSS_GWHRS,LOSS_MILLION_KSH,NUMERATOR_SAIFI,NUMERATOR_SAIDI,hour,month,dow,outage_class,date,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration,heavy_rain_day,high_wind_day,is_public_holiday,is_long_weekend,days_to_next_holiday,days_since_holiday,day_of_week,day_of_year,year,is_weekend,month_sin,month_cos,dow_sin,dow_cos,hour_sin,hour_cos,season_long_dry,season_long_rains,season_short_dry,season_short_rains,max_demand_kva,affected_customers,feeder_id,total_length_km,n_secondary_subs,n_switches,avg_segment_m,bbox_area_km2,events_last_7d,events_last_30d,days_since_last,feeder_event_share,storm_index,rain_season_interaction,demand_load_factor
3013673,Replace a faulty VT at AY5254,2023-06-13 12:13:00,2022,2023-06-13 13:40:00,Controlled System Operation,CONTROLLED INTERRUPTION,CONTROLLED SYSTEM OPERATION,Resolved,Nairobi,Nairobi West County,Non Programmed,87,1506.3,2649,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,06-2023,1.45,0.002184135,0.03057789,2649,3841.05,12,6,1,2,2023-06-13,0.0,2.745906,7.8,3.7961178,0,0,0,0,90,12,1,164,2023,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,0,48.0,0.12872340425531914,0.0,0.0,0.0
3016897,Transient fault,2023-06-29 15:23:00,2022,2023-06-29 15:25:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,2,1506.3,2652,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,06-2023,0.0333333333333333,5.021e-05,0.00070294,2652,88.4,15,6,3,1,2023-06-29,0.0,2.8017852,7.7,3.2375226,0,0,0,0,74,28,3,180,2023,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,16.0,0.12872340425531914,0.0,0.0,4828.2
3016938,Hardy ex Langata controlled to replace broken HT pole hit by lorry beyond ABS Y5,2023-06-29 18:09:00,2022,2023-06-29 19:07:00,Knocked Pole,3rd PARTY/FOREIGN INTERFERENCE,KNOCKED POLE,Resolved,Nairobi,Nairobi West County,Non Programmed,58,1506.3,2652,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,06-2023,0.966666666666667,0.00145609,0.02038526,2652,2563.6,18,6,3,3,2023-06-29,0.0,2.8017852,7.7,3.2375226,0,0,0,0,74,28,3,180,2023,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,2,0.0,0.12872340425531914,0.0,0.0,9656.4
3017399,Transient fault,2023-07-02 09:19:00,2023,2023-07-02 20:10:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,651,1506.3,2652,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,07-2023,10.85,0.016343355,0.22880697,2652,28774.2,9,7,6,1,2023-07-02,0.70000005,3.2015622,7.8,2.3975823,0,0,0,0,71,31,6,183,2023,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.7071067811865476,-0.7071067811865475,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,2,3,2.0,0.12872340425531914,5.460000389999999,0.0,14484.599999999999
3020371,TRANSIENT FAULT,2023-07-19 12:28:43,2023,2023-07-19 12:32:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,3,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,07-2023,0.05,7.5315e-05,0.00105441,2654,132.7,12,7,2,1,2023-07-19,0.0,4.341659,11.7,4.0155334,0,1,0,0,54,48,2,200,2023,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,3,17.0,0.12872340425531914,0.0,0.0,14484.599999999999
3023909,Transient fault,2023-08-06 20:28:00,2023,2023-08-06 20:42:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,14,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,08-2023,0.233333333333333,0.00035147,0.00492058,2654,619.266666666667,20,8,6,1,2023-08-06,1.1,3.6359317,9.1,2.6147192,0,0,0,0,36,66,6,218,2023,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,18.0,0.12872340425531914,10.01,0.0,4828.2
3024067,"Twisted conductors beyond CB, Knocked strut pole",2023-08-07 11:15:00,2023,2023-08-07 16:55:00,MV Conductor,CONDUCTORS,TWISTED MV CONDUCTORS,Resolved,Nairobi,Nairobi West County,Non Programmed,340,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,08-2023,5.66666666666667,0.0085357,0.1194998,2654,15039.3333333333,11,8,0,3,2023-08-07,0.3,2.8999999,7.9,3.5677905,0,0,0,0,35,67,0,219,2023,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.258819045102521,-0.9659258262890682,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,2,0.0,0.12872340425531914,2.37,0.0,9656.4
3029716,Conductors on a leanig pole shorting with trees,2023-09-06 10:24:00,2023,2023-09-06 12:32:00,Tree Branch on Power Line,TREE/ OBJECT CONTACT,TREE BRANCH ON POWER LINE,Resolved,Nairobi,Nairobi West County,Non Programmed,128,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,09-2023,2.13333333333333,0.00321344,0.04498816,2654,5661.86666666667,10,9,2,3,2023-09-06,4.7,3.2015622,10.2,4.442412,0,1,0,0,5,97,2,249,2023,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,1,29.0,0.12872340425531914,47.94,0.0,4828.2
3030883,Transient fault,2023-09-10 18:31:00,2023,2023-09-10 18:51:00,Trip of Circuit Breaker/ Auto Reclosure,LOSS OF SUPPLY,TRANSIENT 11KV LINE FAULT,Resolved,Nairobi,Nairobi West County,Non Programmed,20,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,09-2023,0.333333333333333,0.0005021,0.0070294,2654,884.666666666667,18,9,6,1,2023-09-10,0.3,3.7013512,9.6,4.424278,0,0,0,1,1,101,6,253,2023,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,1,0,0,0,4828.2,3056,0,4.4877,28,8,41.55,3.2293,1,1,4.0,0.12872340425531914,2.88,0.0,4828.2
3036384,switching operation.,2023-10-02 19:41:00,2023,2023-10-02 20:00:00,Controlled System Operation,CONTROLLED INTERRUPTION,CONTROLLED SWITCHING OPERATION,Resolved,Nairobi,Nairobi West County,Non Programmed,19,1506.3,2654,208001428,HARDY EX LANGATA,LANGATA 66KV / 11KV ( 66 / 11 KV),2,KAREN,10-2023,0.316666666666667,0.000476995,0.00667793,2654,840.433333333333,19,10,0,2,2023-10-02,2.8999999,4.118252,10.2,5.1522613,0,1,0,0,8,21,0,275,2023,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.9659258262890684,0.2588190451025203,0,0,0,1,4828.2,3056,0,4.4877,28,8,41.55,3.2293,0,2,22.0,0.12872340425531914,29.57999898,0.0,9656.4
