segment_id,feeder_name,lon_start,lat_start,lon_end,lat_end,length_m,polyline_idx
SEG_00192,NDALATI EX LANGATA,36.7789457,-1.3123387,36.7790107,-1.3126187,31.81,192
SEG_00193,NDALATI EX LANGATA,36.7816224,-1.312242,36.7818524,-1.312547,42.35,193
SEG_00194,KUWINDA EX LANGATA,36.7761426,-1.3205451,36.775777,-1.319786,93.3,38
SEG_00195,KUWINDA EX LANGATA,36.775777,-1.319786,36.7756457,-1.3195153,33.32,39
SEG_00196,KUWINDA EX LANGATA,36.7756457,-1.3195153,36.775464,-1.319153,44.9,39
SEG_00197,KUWINDA EX LANGATA,36.775464,-1.319153,36.7753846,-1.3190013,18.96,39
SEG_00198,KUWINDA EX LANGATA,36.7753846,-1.3190013,36.7752927,-1.3188169,22.81,39
SEG_00199,NDALATI EX LANGATA,36.7815874,-1.313247,36.7814224,-1.313092,25.13,199
SEG_00200,NDALATI EX LANGATA,36.7803807,-1.3135387,36.780184,-1.3139553,51.03,200
SEG_00201,NDALATI EX LANGATA,36.7803807,-1.3135387,36.7805107,-1.3137937,31.7,201
SEG_00202,NDALATI EX LANGATA,36.7805107,-1.3137937,36.780889,-1.3139203,44.39,202
SEG_00203,SOWETO EX LANGATA,36.7488479,-1.3375811,36.7489298,-1.3375928,9.2,203
SEG_00204,SOWETO EX LANGATA,36.7489461,-1.3375942,36.7493045,-1.3376437,40.28,102
SEG_00205,SOWETO EX LANGATA,36.7493045,-1.3376437,36.7497016,-1.3377082,44.78,102
SEG_00206,SOWETO EX LANGATA,36.7615211,-1.3492361,36.760446,-1.3495214,123.78,206
SEG_00207,SOWETO EX LANGATA,36.7568531,-1.3392347,36.7568914,-1.33905,20.88,207
SEG_00208,SOWETO EX LANGATA,36.7569006,-1.3390046,36.7569006,-1.3390046,0.0,69
SEG_00209,SOWETO EX LANGATA,36.7569006,-1.3390046,36.7569605,-1.3386626,38.41,69
SEG_00210,SOWETO EX LANGATA,36.7569605,-1.3386626,36.7564374,-1.3386065,58.57,70
SEG_00211,NGEI EX LANGATA,36.7809538,-1.3337116,36.7807594,-1.3338001,23.74,211
SEG_00212,SOWETO EX LANGATA,36.7628214,-1.3595247,36.7628214,-1.3595247,0.0,70
SEG_00213,SOWETO EX LANGATA,36.7628214,-1.3595247,36.7622171,-1.3588646,99.29,71
SEG_00214,SOWETO EX LANGATA,36.7622171,-1.3588646,36.7616262,-1.3582178,97.18,71
SEG_00215,SOWETO EX LANGATA,36.7650494,-1.3622379,36.7645823,-1.3614167,104.66,107
SEG_00216,SOWETO EX LANGATA,36.7645823,-1.3614167,36.7641257,-1.3609277,74.22,108
SEG_00217,SOWETO EX LANGATA,36.7599698,-1.3653504,36.7594374,-1.365376,59.34,27
SEG_00218,SOWETO EX LANGATA,36.7594374,-1.365376,36.758866,-1.3654073,63.7,27
SEG_00219,SOWETO EX LANGATA,36.758866,-1.3654073,36.7583333,-1.365443,59.44,27
SEG_00220,SOWETO EX LANGATA,36.7583333,-1.365443,36.7580384,-1.3654612,32.89,27
SEG_00221,SOWETO EX LANGATA,36.7580384,-1.3654612,36.7577611,-1.3654804,30.95,27
SEG_00222,SOWETO EX LANGATA,36.7577611,-1.3654804,36.7572915,-1.3655126,52.4,27
SEG_00223,SOWETO EX LANGATA,36.7572915,-1.3655126,36.7568685,-1.3655405,47.2,27
SEG_00224,SOWETO EX LANGATA,36.7568685,-1.3655405,36.7567044,-1.3655492,18.3,28
SEG_00225,SOWETO EX LANGATA,36.7662097,-1.3672925,36.7663893,-1.3663242,108.97,112
SEG_00226,SOWETO EX LANGATA,36.7663893,-1.3663242,36.7665303,-1.3655294,89.3,113
SEG_00227,SOWETO EX LANGATA,36.7615211,-1.3492361,36.7621672,-1.3477906,175.33,227
SEG_00228,KAREN HOSPITAL EX LANGATA,36.8058618,-1.327514,36.8058846,-1.3277831,29.88,228
SEG_00229,NDALATI EX LANGATA,36.7856618,-1.3170744,36.785944,-1.3172984,40.02,114
SEG_00230,NDALATI EX LANGATA,36.785944,-1.3172984,36.7861875,-1.3174908,34.48,115
SEG_00231,KAREN HOSPITAL EX LANGATA,36.8102623,-1.3273174,36.8102377,-1.3276021,31.61,231
SEG_00232,HARDY EX LANGATA,36.7848796,-1.3280328,36.7863451,-1.3271966,187.55,116
SEG_00233,HARDY EX LANGATA,36.7863451,-1.3271966,36.7871852,-1.3267258,107.05,116
SEG_00234,NDALATI EX LANGATA,36.7808874,-1.3117287,36.7812257,-1.3116937,37.87,234
SEG_00235,NDALATI EX LANGATA,36.7816757,-1.3117637,36.781684,-1.3120087,27.12,235
SEG_00236,KAREN HOSPITAL EX LANGATA,36.8143685,-1.3288069,36.8140035,-1.3288678,41.19,59
SEG_00237,KAREN HOSPITAL EX LANGATA,36.8140035,-1.3288678,36.8136171,-1.3289327,43.61,59
SEG_00238,KAREN HOSPITAL EX LANGATA,36.8136171,-1.3289327,36.8129404,-1.3284887,89.93,59
SEG_00239,KAREN HOSPITAL EX LANGATA,36.8129404,-1.3284887,36.8121305,-1.3279542,107.82,59
SEG_00240,HARDY EX LANGATA,36.7852932,-1.3318643,36.7855713,-1.3323534,62.33,34
SEG_00241,HARDY EX LANGATA,36.7855713,-1.3323534,36.7860225,-1.3327981,70.3,34
SEG_00242,HARDY EX LANGATA,36.7860225,-1.3327981,36.7863207,-1.3331448,50.72,34
SEG_00243,HARDY EX LANGATA,36.7863207,-1.3331448,36.7868014,-1.3337018,81.61,34
SEG_00244,HARDY EX LANGATA,36.7868014,-1.3337018,36.7872314,-1.3341806,71.39,34
SEG_00245,HARDY EX LANGATA,36.7872314,-1.3341806,36.787353,-1.3343373,22.0,35
SEG_00246,HARDY EX LANGATA,36.787353,-1.3343373,36.7876537,-1.3347223,54.17,35
SEG_00247,NDALATI EX LANGATA,36.7757024,-1.312722,36.7755207,-1.313002,36.99,247
SEG_00248,NDALATI EX LANGATA,36.7792791,-1.3107023,36.7795866,-1.3109564,44.29,124
SEG_00249,NDALATI EX LANGATA,36.7795866,-1.3109564,36.779845,-1.3111697,37.21,124
SEG_00250,KAREN HOSPITAL EX LANGATA,36.7976469,-1.3299958,36.7976469,-1.3299958,0.0,125
SEG_00251,KAREN HOSPITAL EX LANGATA,36.7976469,-1.3299958,36.7978082,-1.3303101,39.14,125
SEG_00252,KAREN HOSPITAL EX LANGATA,36.7981308,-1.3309362,36.7989503,-1.3306208,97.67,252
SEG_00253,NDALATI EX LANGATA,36.7761307,-1.312507,36.776004,-1.312642,20.54,253
SEG_00254,NDALATI EX LANGATA,36.7774174,-1.313177,36.7774707,-1.312942,26.66,254
SEG_00255,NDALATI EX LANGATA,36.7757107,-1.3121687,36.7755024,-1.3122803,26.28,255
SEG_00256,SOWETO EX LANGATA,36.7564656,-1.3499846,36.7560441,-1.3500226,47.12,256
SEG_00257,SOWETO EX LANGATA,36.7555207,-1.3501205,36.7554564,-1.3495662,61.73,257
SEG_00258,SOWETO EX LANGATA,36.7560441,-1.3500226,36.7555207,-1.3501205,59.26,258
SEG_00259,NGEI EX LANGATA,36.7774166,-1.3319587,36.7778399,-1.3317113,54.5,259
SEG_00260,NGEI EX LANGATA,36.7696755,-1.3375148,36.7710787,-1.3364807,193.61,37
